
 LQR gain path =/root/my_pkg/workspace/src/observer/data/LQR_16_04_2021/LQR_gain.mat 

yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955418587 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955895424 yaw_offset 0.0
data.orientation.z 0.346955895424 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955180168 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
data.orientation.z 0.346955567598 yaw_offset 0.0
